name	type	units	low_cutoff	high_cutoff	group	sampling_frequency	description	notch
LAD1	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD2	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD3	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD4	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD5	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD6	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD7	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD8	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD9	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD10	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD11	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD12	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD13	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAD14	SEEG	V	n/a	n/a	LAD	2048	depth	n/a
LAHD1	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD2	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD3	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD4	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD5	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD6	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD7	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD8	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD9	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD10	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD11	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LAHD12	SEEG	V	n/a	n/a	LAHD	2048	depth	n/a
LPHD1	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD2	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD3	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD4	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD5	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD6	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD7	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD8	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD9	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD10	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD11	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD12	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD13	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LPHD14	SEEG	V	n/a	n/a	LPHD	2048	depth	n/a
LID1	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID2	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID3	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID4	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID5	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID6	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID7	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID8	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID9	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID10	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID11	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID12	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID13	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID14	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID15	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LID16	SEEG	V	n/a	n/a	LID	2048	depth	n/a
LOFD1	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD2	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD3	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD4	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD5	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD6	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD7	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD8	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD9	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD10	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD11	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD12	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD13	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD14	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD15	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LOFD16	SEEG	V	n/a	n/a	LOFD	2048	depth	n/a
LBTD1	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD2	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD3	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD4	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD5	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD6	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD7	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD8	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD9	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD10	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD11	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LBTD12	SEEG	V	n/a	n/a	LBTD	2048	depth	n/a
LSTS1	ECOG	V	n/a	n/a	LSTS	2048	strip	n/a
LSTS2	ECOG	V	n/a	n/a	LSTS	2048	strip	n/a
LSTS3	ECOG	V	n/a	n/a	LSTS	2048	strip	n/a
LSTS4	ECOG	V	n/a	n/a	LSTS	2048	strip	n/a
LSOS1	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
LSOS2	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
LSOS3	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
LSOS4	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
LSOS5	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
LSOS6	ECOG	V	n/a	n/a	LSOS	2048	strip	n/a
RAD1	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD2	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD3	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD4	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD5	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD6	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD7	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD8	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD9	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD10	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD11	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD12	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD13	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RAD14	SEEG	V	n/a	n/a	RAD	2048	depth	n/a
RHD1	SEEG	V	n/a	n/a	RHD	2048	depth	n/a
RHD2	SEEG	V	n/a	n/a	RHD	2048	depth	n/a
RHD3	SEEG	V	n/a	n/a	RHD	2048	depth	n/a
