name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch
LD1-LD2	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD2-LD3	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD3-LD4	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD4-LD5	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD5-LD6	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD6-LD7	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD7-LD8	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD8-LD9	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LD10-LD9	SEEG	V	n/a	n/a	bipolar	LD	1000	depth	n/a
LQ1-LQ2	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ2-LQ3	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ3-LQ4	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ4-LQ5	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ5-LQ6	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ6-LQ7	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ7-LQ8	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ8-LQ9	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ10-LQ11	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ10-LQ9	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LQ11-LQ12	SEEG	V	n/a	n/a	bipolar	LQ	1000	depth	n/a
LV1-LV2	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV2-LV3	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV3-LV4	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV4-LV5	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV5-LV6	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV6-LV7	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV7-LV8	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV8-LV9	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LV10-LV9	SEEG	V	n/a	n/a	bipolar	LV	1000	depth	n/a
LY1-LY2	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY2-LY3	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY3-LY4	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY4-LY5	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY5-LY6	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY6-LY7	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY7-LY8	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY8-LY9	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LY10-LY9	SEEG	V	n/a	n/a	bipolar	LY	1000	depth	n/a
LW1-LW2	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW2-LW3	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW3-LW4	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW4-LW5	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW5-LW6	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW6-LW7	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW7-LW8	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW8-LW9	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LW10-LW9	SEEG	V	n/a	n/a	bipolar	LW	1000	depth	n/a
LL1-LL2	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL2-LL3	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL3-LL4	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL4-LL5	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL5-LL6	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL6-LL7	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL7-LL8	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL8-LL9	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL10-LL11	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL10-LL9	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL11-LL12	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL12-LL13	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL13-LL14	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL14-LL15	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LL15-LL16	SEEG	V	n/a	n/a	bipolar	LL	1000	depth	n/a
LM1-LM2	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM2-LM3	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM3-LM4	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM4-LM5	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM5-LM6	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM6-LM7	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM7-LM8	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM8-LM9	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LM10-LM9	SEEG	V	n/a	n/a	bipolar	LM	1000	depth	n/a
LZ1-LZ2	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ2-LZ3	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ3-LZ4	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ4-LZ5	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ5-LZ6	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ6-LZ7	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ7-LZ8	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ8-LZ9	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LZ10-LZ9	SEEG	V	n/a	n/a	bipolar	LZ	1000	depth	n/a
LH1-LH2	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH2-LH3	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH3-LH4	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH4-LH5	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH5-LH6	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH6-LH7	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH7-LH8	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH8-LH9	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LH10-LH9	SEEG	V	n/a	n/a	bipolar	LH	1000	depth	n/a
LS1-LS2	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS2-LS3	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS3-LS4	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS4-LS5	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS5-LS6	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS6-LS7	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS7-LS8	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS8-LS9	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
LS10-LS9	SEEG	V	n/a	n/a	bipolar	LS	1000	depth	n/a
